	lid	cstr	phon_affix
0	l89884	Xment	a.bɛs.mã
1	l89887	Xeur	a.be.sœʁ|a.bɛ.sœʁ
2	l89921	Xeuse	a.bɑ̃.dɔ.nøz
3	l89973	Xage	a.ba.taʒ
4	l89986	Xure	a.ba.tyʁ
5	l90062	Xion	ab.di.ka.sjɔ̃
6	l90308	Xif	a.bɔ.li.tif
7	l90678	Xrice	ab.sɔ.ly.tʁis
8	l91147	Xade	a.kɔ.lad
9	l91290	Xance	a.ku.ty.mãs
10	l92011	Xence	a.kje.sãs
11	l93586	Xerie	a.fʁɔ̃.tʁi
12	l94195	Xiser	a.gɔ.ni.zɛ
13	l96934	Xée	a.le
14	l116500	Xaison	bã.dɛ.zɔ̃
15	l116881	Xême	ba.tɛm
16	l131227	Xette	bʁã.lɛt
17	l131607	Xis	bʁə.du.ji
18	l132202	Xing	bʁi.fiŋ
19	l144097	Xisme	ka.te.te.ʁism
20	l157778	Xaire	kɔ.mã.tɛʁ
21	l163597	Xise	kwaʁ.diz
22	l168538	Xon	kɥi.sɔ̃
23	l182924	Xie	de.paʁ.ti
24	l192816	Xice	ɛg.zɛʁ.sis
25	l210558	Xante	gu.ʁãt
26	l213925	Xoyer	gɛ.ʁwa
27	l217217	Xisation	aʁ.mɔ.ni.za.sjɔ̃
28	l226315	Xité	ɛ̃.pɔʁ.ty.ni.te
29	l245735	Xange	lwãʒ
30	l256526	Xonge	mã.sɔ̃ʒ
31	l258632	Xantisme	mi.li.tã.tism
32	l244516	locoXion	lɔ.kɔ.mɔ.sjɔ̃
33	l267119	Xardise	my.zaʁ.diz
34	l277967	Xande	ɔ.fʁãd
35	l182910	déX	de.paʁ
36	l309553	Xar	ʁa.kɔ̃.taʁ
37	l319084	Xaille	ʁət.ʁu.vaj
38	l320271	Xet	ʁi.kɔ.ʃɛ
39	l328468	Xager	sa.ka.ʒɛ
40	l342726	Xeiller	sɔ.me.jɛ
41	l344803	Xgraphie	su.lɔ.gʁa.fi
42	l348834	Xique	sy.plik
43	l318714	reX	ʁə.taʁ
44	l353697	Xication	ta.ʁi.fi.ka.sjɔ̃
45	l180366	Xionnaire	de.si.zjɔ̃.nɛʁ
46	l192788	Xentaire	ɛk.se.dã.tɛʁ
47	l208649	Xulaire	glã.dy.lɛʁ
48	l208650	Xule	glã.dyl
49	l169217	Xé	ky.ʁe
50	l175064	Xoire	di.ʁɛk.twaʁ
51	l332903	Xat	sa.la.ʁja
52	l157821	Xant	kɔ.mɛʁ.sã
53	l285832	Xien	pa.ʁwa.sjɛ̃
54	l323842	Xaume	ʁwa.jom
55	l159327	Xal	kɔ̃.fe.de.ʁal
56	l174030	Xoral	dik.ta.tɔ.ʁjal
57	l159767	Xoïde	kɔ.nɔ.id
58	l105649	Xural	aʁ.ʃi.tɛk.ty.ʁal
59	l159765	Xoïdal	kɔ.nɔ.i.dal
60	l284554	Xeté	pa.po.te
61	l304604	Xable	py.bli.jabl
62	l167478	Xacé	kʁys.ta.se
63	l131457	Xache	bʁa.vaʃ
64	l367234	Xain	yʁ.bɛ̃
65	l199887	Xaliste	fɔʁ.ma.list
