	0	1	2	3	4	5	6	7	8	9	10	11
89999	abɛj,abej	,abɛj	,abɛj	abɛj,abej	,abɛj	abɛj,abej	,abɛj	abɛj,abej		abɛj,abɛjə,abej,abejə	abeja,abɛja	abeje,abɛje
90504										abʁej,abʁejə		
90528										abʁijə,abʁij		
90587										abʁɛʒə,abʁɛʒ		
90603										abʁɛjə,abʁɛj		
90615											,abskɔ̃di	
90805		abɑtəl,	abɑtəl,		abɑtəl,		abɑtəl,					
91036										akastijə,akastij		
91321	akʁɔʃət,akʁɔʃt	,akʁɔʃɛt	,akʁɔʃɛt	akʁɔʃət,akʁɔʃt	,akʁɔʃɛt	akʁɔʃət,akʁɔʃt	,akʁɔʃɛt			akʁɔʃlɛtə,akʁɔʃlɛt	akʁɔʃta,akʁɔʃəta	akʁɔʃəte,akʁɔʃte
91338			,akʁwa								,akʁy	
91342		,akʁeʃ	,akʁeʃ		,akʁeʃ		,akʁeʃ					
91380	akymɔ̃sl,akymɔ̃səl			akymɔ̃sl,akymɔ̃səl		akymɔ̃sl,akymɔ̃səl		akymɔ̃sl,akymɔ̃səl		akymɔ̃sɛlə,akymɔ̃sɛl,akymɔ̃slɛl,akymɔ̃slɛlə	akymɔ̃səla,akymɔ̃sla	akymɔ̃sle,akymɔ̃səle
91512	aʃt,aʃət			aʃt,aʃət		aʃt,aʃət				aʃlɛt,aʃlɛtə	aʃəta,aʃta	aʃte,aʃəte
91865	asizəl,asizl			asizəl,asizl		asizəl,asizl				asizlɛl,asizlɛlə	asizla,asizəla	asizəle,asizle
92900		,adɔmeʃ	,adɔmeʃ		,adɔmeʃ		,adɔmeʃ					
93524										afujə,afuj		
93904	aʒənuj,aʒnuj	aʒənuj,aʒnuj	aʒənuj,aʒnuj	aʒənuj,aʒnuj	aʒənuj,aʒnuj	aʒənuj,aʒnuj	aʒənuj,aʒnuj	aʒənuj,aʒnuj		aʒənuj,aʒnujə,aʒənujə,aʒnuj	aʒnuja,aʒənuja	aʒnuje,aʒənuje
93976										agʁɛʒ,agʁɛʒə		
94094	aɲəl,aɲl			aɲəl,aɲl		aɲəl,aɲl		aɲəl,aɲl		aɲɛlə,aɲɛl,aɲlɛlə,aɲlɛl	aɲəla,aɲla	aɲəle,aɲle
94455										agʁɛʒ,agʁɛʒə		
94511										agij,agijə		
