	0	1	2	3	4	5	6	7	8	9	10	11
91338					#DEF	#DEF						
93103					#DEF	#DEF		#DEF				
104027	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF			#DEF	#DEF
111443											#DEF	
111647	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF			#DEF	#DEF
112105											#DEF	
112472	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF			#DEF	#DEF
117088	#DEF			#DEF		#DEF		#DEF			#DEF	#DEF
119584	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
123247					#DEF	#DEF						
133182	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
133241	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
133439	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
133442	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
133447					#DEF	#DEF		#DEF				
133508	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
133516	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
135291	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
136977	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF			#DEF	#DEF
146542	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
149499				#DEF	#DEF	#DEF	#DEF	#DEF				#DEF
151547	#DEF			#DEF	#DEF	#DEF						#DEF
155173											#DEF	
165533	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
177781	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
180248	#DEF				#DEF	#DEF						
180449						#DEF					#DEF	
187022	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF			#DEF	#DEF
187455											#DEF	
188864					#DEF	#DEF		#DEF				
189164											#DEF	
189350					#DEF							
189375											#DEF	
190371	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
191526	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
194386	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
199700											#DEF	
199987											#DEF	
199989											#DEF	
201256	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF			#DEF	#DEF
202265	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
202326	#DEF	#DEF		#DEF		#DEF	#DEF	#DEF			#DEF	#DEF
204041	#DEF			#DEF	#DEF	#DEF				#DEF	#DEF	#DEF
207651	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
213626	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
215823					#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
227105					#DEF	#DEF		#DEF				
228784	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF			#DEF	#DEF
231958			#DEF		#DEF	#DEF	#DEF					
248620	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
257266		#DEF			#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
257314		#DEF			#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
265487	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
265800	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
268202	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
269481	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
269489					#DEF	#DEF		#DEF				
270224					#DEF	#DEF		#DEF				
271918	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
271920	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
271921	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
271922	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
284016	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
294264	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
294275	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
294276	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
294280	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
295095	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
295096	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
295104	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
299656					#DEF	#DEF						
310280											#DEF	
310399	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF			#DEF	#DEF
311798	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
312258	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
312273	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
312274					#DEF	#DEF		#DEF				
312278	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
312667	#DEF				#DEF	#DEF						
312776											#DEF	
313315					#DEF	#DEF						
313725	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
313868						#DEF					#DEF	
313920					#DEF	#DEF						
314331	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
314634	#DEF	#DEF		#DEF		#DEF	#DEF	#DEF			#DEF	#DEF
