	0	1	2	3	4	5	6	7	8	9	10	11
89898										abaljɛnə,None		
89999										abɛj,None,abɛjə,abej,abejə		
90038										abɛʃə,None		
90053										absɛdə,None		
90289										abnɛgə,None		
90587										abʁɛʒə,abʁɛʒ,None		
90603										abʁɛjə,abʁɛj,None		
90805										abɑtələ,None		
90809										abɛʃə,None		
90847										abɛkə,None		
91321										akʁɔʃlɛtə,akʁɔʃlɛt,None		
91342										akʁeʃə,None		
91359										akʁɛtə,None		
91406										aksɛdə,None		
91413										akselɛʁə,None		
91634										aʃɛʃə,None		
91871										asjɛʁə,None		
92425										asɛʁə,None		
92690										adɛʁə,None		
92873										admɔnɛtə,None		
92900										adɔmeʃə,None		
93087										adylɛʁə,None		
93206										adenɛʁə,None		
93595										afʁɛtə,None		
93624										afɛʁə,None		
93950										aglɔmɛʁə,None		
93976										agʁɛʒ,agʁɛʒə,None		
94047										aglɔmɛʁə,None		
94455										agʁɛʒ,agʁɛʒə,None		
94470										agʁɛnə,None		
94659										egejə,ɛgejə,None,egej,ɛgajə,ɛgɛjə,ɛgej,ɛgɛj,ɛgaj		
96385										aljɛnə,None		
96652										alitɛʁə,None		
96932										alɛʃə,None		
96943										allɛʒə,allɛʒ,None		
96962										alɛgʁə,None		
96970										alɛgə,None		
96997										alɛzə,None		
97495										altɛʁə,None		
97700										alɛzə,None		
98696										ãpastlɛl,ãpastlɛlə,None		
100584										anɛlə,None		
100730										anjesə,None		
103475										ãtesɛdə,None		
103919										afeʁɛzə,None		
103975										apjɛs,apjɛsə,None		
103978										apjɛʒə,apjɛʒ,None		
104027										None		
104459										apjɛs,apjɛsə,None		
104669										apɛtə,None		
106711										aʁmɛʒə,None		
106940										aʁpɛʒ,aʁpɛʒə,None		
107184										aʁjɛʁə,None		
107861										aʁɛnə,None		
108396										asaj,None		
108447										asej,asejə,None		
108622										asjɛʒ,asjɛʒə,None		
108786										asɛʃə,None		
108799										asɛnə,None		
108809										asɛʁə,None		
110297	otodekʁiv,None			otodekʁiv,None		otodekʁiv,None,otodekʁiv				otodekʁi,None		
111278										otoakselɛʁə,None		
111284										otoadɛʁə,None		
111306										ɔtoaglɔmeʁə,None		
111324										otoalteʁə,None		
111348										otoapitwajə,None		
111385										otoaseʃə,None		
111418										otobydʒɛtə,None		
111485										otoselebʁə,None		
111492										otodiʒeʁə,None		
111500										otodebʁej,otodebʁejə,None		
111518										otodekʁetə,None		
111567										otoɛgzɛkʁə,None		
111593										otoʒeneʁə,None		
111594										otoʒɛʁə,None		
111616										otoɛ̃seʁə,None		
111629										otolibɛʁə,None		
111647										None		
111678	otouvʁis,None			otouvʁis,None		otouvʁis,otouvʁis,None						
111705										otopjɛʒə,otopjɛʒ,None		
111719										None		
111725										otopʁɔteʒə,None		
111775										otoʁefɛʁə,None		
111777										otoʁeglə,None		
111780										otoʁeʒenɛʁə,None		
111781										otoʁemynɛʁə,None		
111825										otosyksɛdə,None		
111830										otosygʒɛʁə,None		
111849										ototʁãsfeʁə,None		
111885	otoapsɔlv,None			otoapsɔlv,None		otoapsɔlv,None,otoapsɔlv				otoapsud,None		
111898										otoakselɛʁə,None		
111903										otoadɛʁə,None		
111924										otoaglɔmɛʁə,None		
111941										otoaltɛʁə,None		
