Phoneme	Affix	Stem	rid
ʁabes	ʁə	bes	r116242
ʁabɛs	ʁə	bɛs	r116242
ʁabɛs	ʁə	bɛs	r116242
ʁabes	ʁə	bes	r116242
ʁabɛs	ʁə	bɛs	r116242
ʁabes	ʁə	bes	r116242
ʁabɛs	ʁə	bɛs	r116242
ʁabes	ʁə	bes	r116242
ʁabese	ʁə	bese	r116242
ʁabɛsə	ʁə	bɛsə	r116242
ʁabesa	ʁə	besa	r116242
ʁabese	ʁə	bese	r116242
ʁabat	ʁə	bat	r105502
ʁabat	ʁə	bat	r105502
ʁaba	ʁə	ba	r105502
ʁabat	ʁə	bat	r105502
ʁaba	ʁə	ba	r105502
ʁabat	ʁə	bat	r105502
ʁabat	ʁə	bat	r105502
ʁabat	ʁə	bat	r105502
ʁabat	ʁə	bat	r105502
ʁabat	ʁə	bat	r105502
ʁabati	ʁə	bati	r105502
ʁabaty	ʁə	baty	r105502
ʁabat	ʁə	bat	r116244
ʁabat	ʁə	bat	r116244
ʁaba	ʁə	ba	r116244
ʁabat	ʁə	bat	r116244
ʁaba	ʁə	ba	r116244
ʁabat	ʁə	bat	r116244
ʁabat	ʁə	bat	r116244
ʁabat	ʁə	bat	r116244
ʁabat	ʁə	bat	r116244
ʁabat	ʁə	bat	r116244
ʁabati	ʁə	bati	r116244
ʁabaty	ʁə	baty	r116244
ʁabut	ʁə	but	r116258
ʁabut	ʁə	but	r116258
ʁabut	ʁə	but	r116258
ʁabut	ʁə	but	r116258
ʁabut	ʁə	but	r116258
ʁabut	ʁə	but	r116258
ʁabut	ʁə	but	r116258
ʁabut	ʁə	but	r116258
ʁabute	ʁə	bute	r116258
ʁabutə	ʁə	butə	r116258
ʁabuta	ʁə	buta	r116258
ʁabute	ʁə	bute	r116258
abyziv	if	abyz	r91350
abyziv	if	abyz	r91350
abyziv	if	abyz	r6540
abyziv	if	abyz	r6540
abyziv	if	abyz	r91414
abyziv	if	abyz	r91414
ʁakɔmɔd	ʁə	kɔmɔd	r105506
ʁakɔmɔd	ʁə	kɔmɔd	r105506
ʁakɔmɔd	ʁə	kɔmɔd	r105506
ʁakɔmɔd	ʁə	kɔmɔd	r105506
ʁakɔmɔd	ʁə	kɔmɔd	r105506
ʁakɔmɔd	ʁə	kɔmɔd	r105506
ʁakɔmɔd	ʁə	kɔmɔd	r105506
ʁakɔmɔd	ʁə	kɔmɔd	r105506
ʁakɔmɔde	ʁə	kɔmɔde	r105506
ʁakɔmɔdə	ʁə	kɔmɔdə	r105506
ʁakɔmɔda	ʁə	kɔmɔda	r105506
ʁakɔmɔde	ʁə	kɔmɔde	r105506
ʁakɔmɔd	ʁə	kɔmɔd	r116268
ʁakɔmɔd	ʁə	kɔmɔd	r116268
ʁakɔmɔd	ʁə	kɔmɔd	r116268
ʁakɔmɔd	ʁə	kɔmɔd	r116268
ʁakɔmɔd	ʁə	kɔmɔd	r116268
ʁakɔmɔd	ʁə	kɔmɔd	r116268
ʁakɔmɔd	ʁə	kɔmɔd	r116268
ʁakɔmɔd	ʁə	kɔmɔd	r116268
ʁakɔmɔde	ʁə	kɔmɔde	r116268
ʁakɔmɔdə	ʁə	kɔmɔdə	r116268
ʁakɔmɔda	ʁə	kɔmɔda	r116268
ʁakɔmɔde	ʁə	kɔmɔde	r116268
ʁakɔʁd	ʁə	kɔʁd	r116272
ʁakɔʁd	ʁə	kɔʁd	r116272
ʁakɔʁd	ʁə	kɔʁd	r116272
ʁakɔʁd	ʁə	kɔʁd	r116272
ʁakɔʁd	ʁə	kɔʁd	r116272
ʁakɔʁd	ʁə	kɔʁd	r116272
ʁakɔʁd	ʁə	kɔʁd	r116272
ʁakɔʁd	ʁə	kɔʁd	r116272
ʁakɔʁde	ʁə	kɔʁde	r116272
ʁakɔʁdə	ʁə	kɔʁdə	r116272
ʁakɔʁda	ʁə	kɔʁda	r116272
ʁakɔʁde	ʁə	kɔʁde	r116272
mɔnɔkɔʁd	mɔno	kɔʁd	r101802
mɔnɔkɔʁd	mɔno	kɔʁd	r101802
ʁakʁɔʃ	ʁə	kʁɔʃ	r116282
ʁakʁɔʃ	ʁə	kʁɔʃ	r116282
ʁakʁɔʃ	ʁə	kʁɔʃ	r116282
ʁakʁɔʃ	ʁə	kʁɔʃ	r116282
ʁakʁɔʃ	ʁə	kʁɔʃ	r116282
ʁakʁɔʃ	ʁə	kʁɔʃ	r116282
ʁakʁɔʃ	ʁə	kʁɔʃ	r116282
ʁakʁɔʃ	ʁə	kʁɔʃ	r116282
ʁakʁɔʃe	ʁə	kʁɔʃe	r116282
ʁakʁɔʃə	ʁə	kʁɔʃə	r116282
ʁakʁɔʃa	ʁə	kʁɔʃa	r116282
ʁakʁɔʃe	ʁə	kʁɔʃe	r116282
ʁakit	ʁə	kit	r116290
ʁakit	ʁə	kit	r116290
ʁakit	ʁə	kit	r116290
ʁakit	ʁə	kit	r116290
ʁakit	ʁə	kit	r116290
ʁakit	ʁə	kit	r116290
ʁakit	ʁə	kit	r116290
ʁakit	ʁə	kit	r116290
ʁakite	ʁə	kite	r116290
ʁakitə	ʁə	kitə	r116290
ʁakita	ʁə	kita	r116290
ʁakite	ʁə	kite	r116290
aktiv	if	akt	r91522
aktiv	if	akt	r91522
ʁeaʒis	ʁə	aʒis	r116340
ʁeaʒis	ʁə	aʒis	r116340
ʁeaʒi	ʁə	aʒi	r116340
ʁeaʒis	ʁə	aʒis	r116340
ʁeaʒi	ʁə	aʒi	r116340
ʁeaʒis	ʁə	aʒis	r116340
ʁeaʒis	ʁə	aʒis	r116340
ʁeaʒis	ʁə	aʒis	r116340
ʁeaʒi	ʁə	aʒi	r116340
ʁeaʒi	ʁə	aʒi	r116340
ʁeaʒi	ʁə	aʒi	r116340
ʁeaʒi	ʁə	aʒi	r116340
ʁetʁɔaktiv	if	ʁetʁɔakt	r64336
ʁetʁɔaktiv	if	ʁetʁɔakt	r64336
ʁetʁɔaktiv	if	ʁetʁɔakt	r64338
ʁetʁɔaktiv	if	ʁetʁɔakt	r64338
ʁetʁɔaktiv	if	ʁetʁɔakt	r102396
ʁetʁɔaktiv	if	ʁetʁɔakt	r102396
inaktiv	if	inakt	r44594
inaktiv	if	inakt	r44594
inaktiv	if	inakt	r44596
inaktiv	if	inakt	r44596
inaktiv	if	inakt	r114612
inaktiv	if	inakt	r114612
ʁeaktiv	if	ʁeakt	r59632
ʁeaktiv	if	ʁeakt	r59632
ʁeaktiv	if	ʁeakt	r59638
ʁeaktiv	if	ʁeakt	r59638
ʁeaktiv	if	ʁeakt	r91176
ʁeaktiv	if	ʁeakt	r91176
aktiv	if	akt	r7168
aktiv	if	akt	r7168
aktiv	if	akt	r90862
aktiv	if	akt	r90862
aktiv	if	akt	r113842
aktiv	if	akt	r113842
ʁeaksjɔ̃	ʁə	aksjɔ̃	r116294
ʁeaksjɔ̃	ʁə	aksjɔ̃	r116294
ʁeaktiv	if	ʁeakt	r91282
ʁeaktiv	if	ʁeakt	r91282
ʁeaktivasjɔ̃	ʁə	aktivasjɔ̃	r116296
ʁeaktivasjɔ̃	ʁə	aktivasjɔ̃	r116296
ʁeaktiv	if	ʁeakt	r59627
