Phoneme	Affix	rid
bɛsjɛʁ	ije	r90262
bɛsjɛʁ	ije	r90262
bɛsjɛʁ	ije	r181926
bɛsjɛʁ	ije	r181926
bɛsjɛʁ	ije	r184838
bɛsjɛʁ	ije	r184838
ablysjɔ̃	jɔ	r6240
ablysjɔ̃	jɔ	r6240
ablysjɔ̃	jɔ	r6242
ablysjɔ̃	jɔ	r6242
bɔʁdjɛʁ	ije	r90258
bɔʁdjɛʁ	ije	r90258
bɔʁdjɛʁ	ije	r182060
bɔʁdjɛʁ	ije	r182060
bɔʁdjɛʁ	ije	r182488
bɔʁdjɛʁ	ije	r182488
bɔʁdjɛʁ	ije	r183520
bɔʁdjɛʁ	ije	r183520
abʁikɔtjɛʁ	ije	r185028
abʁikɔtjɛʁ	ije	r185028
apsɔlysjɔ̃	jɔ	r6508
apsɔlysjɔ̃	jɔ	r6508
apsɔlysjɔ̃	jɔ	r6510
apsɔlysjɔ̃	jɔ	r6510
apsɔlysjɔ̃	jɔ	r6484
apsɔlysjɔ̃	jɔ	r6484
apsɔlysjɔ̃	jɔ	r6475
apsɔlysjɔ̃	jɔ	r6475
aksãtɥasjɔ̃	jɔ	r6602
aksãtɥasjɔ̃	jɔ	r6602
aksãtɥasjɔ̃	jɔ	r6604
aksãtɥasjɔ̃	jɔ	r6604
aksãtɥasjɔ̃	jɔ	r6606
aksãtɥasjɔ̃	jɔ	r6606
aksɛsjɔ̃	jɔ	r6634
aksɛsjɔ̃	jɔ	r6634
aksɛsjɔ̃	jɔ	r6636
aksɛsjɔ̃	jɔ	r6636
aksɛsjɔ̃	jɔ	r6638
aksɛsjɔ̃	jɔ	r6638
aksɛsjɔ̃	jɔ	r6633
aksɛsjɔ̃	jɔ	r6633
akɔmɔdasjɔ̃	jɔ	r6726
akɔmɔdasjɔ̃	jɔ	r6726
akɔmɔdasjɔ̃	jɔ	r6728
akɔmɔdasjɔ̃	jɔ	r6728
ɛ̃kɔmɔd	i	r114814
ɛ̃kɔmɔd	i	r114814
coʁdi	ije	r182518
coʁdi	ije	r182518
coʁdi	ije	r183960
coʁdi	ije	r183960
kɔʁdəljɛʁ	ije	r187142
kɔʁdəljɛʁ	ije	r187142
kɔʁdəljɛʁ	ije	r185238
kɔʁdəljɛʁ	ije	r185238
akʁɔʃøz	œʁ	r86764
akʁɔʃøz	œʁ	r86764
asjeʁasjɔ̃	jɔ	r7118
asjeʁasjɔ̃	jɔ	r7118
asjeʁasjɔ̃	jɔ	r7120
asjeʁasjɔ̃	jɔ	r7120
asjeʁasjɔ̃	jɔ	r7122
asjeʁasjɔ̃	jɔ	r7122
aseʁɛ̃	ɛ	r221304
aseʁɛn	ɛ	r221304
aseʁɛn	ɛ	r221304
aseʁɛ̃	ɛ	r221304
aksjɔ̃	jɔ	r7166
aksjɔ̃	jɔ	r7166
aksjɔ̃	jɔ	r90863
aksjɔ̃	jɔ	r90863
aksjɔ̃	jɔ	r113843
aksjɔ̃	jɔ	r113843
aksjɔ̃	jɔ	r8152
aksjɔ̃	jɔ	r8152
aksjɔ̃	jɔ	r116338
aksjɔ̃	jɔ	r116338
	œʁ	r59628
aksjɔ̃	jɔ	r189102
aksjɔ̃	jɔ	r189102
aksjɔ̃	jɔ	r197154
aksjɔ̃	jɔ	r197154
aksjɔ̃	jɔ	r197156
aksjɔ̃	jɔ	r197156
ʁeaksjɔ̃	jɔ	r59694
ʁeaksjɔ̃	jɔ	r59694
ʁeaksjɔ̃	jɔ	r118060
ʁeaksjɔ̃	jɔ	r118060
aktivasjɔ̃	jɔ	r7180
aktivasjɔ̃	jɔ	r7180
aktivasjɔ̃	jɔ	r7177
aktivasjɔ̃	jɔ	r7177
inaktivasjɔ̃	jɔ	r44600
inaktivasjɔ̃	jɔ	r44600
inaktivasjɔ̃	jɔ	r44602
inaktivasjɔ̃	jɔ	r44602
inaktivasjɔ̃	jɔ	r44604
inaktivasjɔ̃	jɔ	r44604
aktivasjɔ̃	jɔ	r7188
aktivasjɔ̃	jɔ	r7188
aktivasjɔ̃	jɔ	r7190
aktivasjɔ̃	jɔ	r7190
aktivasjɔ̃	jɔ	r7192
aktivasjɔ̃	jɔ	r7192
aktivasjɔ̃	jɔ	r116298
aktivasjɔ̃	jɔ	r116298
inaksjɔ̃	jɔ	r44595
inaksjɔ̃	jɔ	r44595
inaksjɔ̃	jɔ	r114613
inaksjɔ̃	jɔ	r114613
desaktivasjɔ̃	jɔ	r27258
desaktivasjɔ̃	jɔ	r27258
desaktivasjɔ̃	jɔ	r27260
desaktivasjɔ̃	jɔ	r27260
desaktivasjɔ̃	jɔ	r112022
desaktivasjɔ̃	jɔ	r112022
	œʁ	r59626
ʁeaksjɔ̃	jɔ	r59633
ʁeaksjɔ̃	jɔ	r59633
ʁeaksjɔ̃	jɔ	r91177
ʁeaksjɔ̃	jɔ	r91177
ʁeaksjɔ̃	jɔ	r59629
ʁeaksjɔ̃	jɔ	r59629
ʁeaksjɔ̃	jɔ	r210091
ʁeaksjɔ̃	jɔ	r210091
ʁeaktivasjɔ̃	jɔ	r59646
ʁeaktivasjɔ̃	jɔ	r59646
ʁeaktivasjɔ̃	jɔ	r59648
ʁeaktivasjɔ̃	jɔ	r59648
ʁeaktivasjɔ̃	jɔ	r59650
ʁeaktivasjɔ̃	jɔ	r59650
ʁeaktivasjɔ̃	jɔ	r118052
ʁeaktivasjɔ̃	jɔ	r118052
ʁeaksjɔ̃	jɔ	r59636
ʁeaksjɔ̃	jɔ	r59636
ʁetʁɔaksjɔ̃	jɔ	r64337
ʁetʁɔaksjɔ̃	jɔ	r64337
ʁetʁɔaksjɔ̃	jɔ	r102397
ʁetʁɔaksjɔ̃	jɔ	r102397
ʁetʁɔaksjɔ̃	jɔ	r64340
ʁetʁɔaksjɔ̃	jɔ	r64340
adisjɔ̃	jɔ	r7255
addisjɔ̃	jɔ	r7255
adisjɔ̃	jɔ	r7255
addisjɔ̃	jɔ	r7255
adisjɔ̃	jɔ	r90959
addisjɔ̃	jɔ	r90959
adisjɔ̃	jɔ	r90959
addisjɔ̃	jɔ	r90959
adʒɛktivasjɔ̃	jɔ	r7302
adʒɛktivasjɔ̃	jɔ	r7302
adʒɛktivasjɔ̃	jɔ	r7306
adʒɛktivasjɔ̃	jɔ	r7306
adʒɛktivo	al	r82934
adʒɛksjɔ̃	jɔ	r7299
adʒɛksjɔ̃	jɔ	r7299
afɛksjɔ̃	jɔ	r7726
afɛksjɔ̃	jɔ	r7726
afɛksjɔ̃	jɔ	r7728
afɛksjɔ̃	jɔ	r7728
afɛksjɔ̃	jɔ	r7730
afɛksjɔ̃	jɔ	r7730
afɛktasjɔ̃	jɔ	r7716
afɛktasjɔ̃	jɔ	r7716
afɛktasjɔ̃	jɔ	r7718
afɛktasjɔ̃	jɔ	r7718
afɛktasjɔ̃	jɔ	r7720
afɛktasjɔ̃	jɔ	r7720
afɛksjɔ̃	jɔ	r7725
afɛksjɔ̃	jɔ	r7725
afɛksjɔ̃	jɔ	r91279
afɛksjɔ̃	jɔ	r91279
afɛksjɔ̃	jɔ	r222001
afɛksjɔ̃	jɔ	r222001
dezafɛksjɔ̃	jɔ	r27278
dezafɛksjɔ̃	jɔ	r27278
dezafɛksjɔ̃	jɔ	r27280
dezafɛksjɔ̃	jɔ	r27280
dezafɛksjɔ̃	jɔ	r112036
dezafɛksjɔ̃	jɔ	r112036
dezafɛktasjɔ̃	jɔ	r27272
dezafɛktasjɔ̃	jɔ	r27272
dezafɛktasjɔ̃	jɔ	r27274
dezafɛktasjɔ̃	jɔ	r27274
dezafɛktasjɔ̃	jɔ	r27276
dezafɛktasjɔ̃	jɔ	r27276
