Phoneme	Affix	Stem	rid
bɛsje	ije	bɛs	r181928
bɛsje	ije	bɛs	r181928
bɛsje	ije	bɛs	r90262
bɛsje	ije	bɛs	r90262
bɛsje	ije	bɛs	r181926
bɛsje	ije	bɛs	r181926
bɛsje	ije	bɛs	r184840
bɛsje	ije	bɛs	r184840
bɛsje	ije	bɛs	r184838
bɛsje	ije	bɛs	r184838
bɔʁdje	ije	bɔʁd	r90258
bɔʁdje	ije	bɔʁd	r90258
bɔʁdje	ije	bɔʁd	r182060
bɔʁdje	ije	bɔʁd	r182060
bɔʁdje	ije	bɔʁd	r182488
bɔʁdje	ije	bɔʁd	r182488
bɔʁdje	ije	bɔʁd	r182062
bɔʁdje	ije	bɔʁd	r182062
bɔʁdje	ije	bɔʁd	r183520
bɔʁdje	ije	bɔʁd	r183520
bɔʁdje	ije	bɔʁd	r182064
bɔʁdje	ije	bɔʁd	r182064
bɔʁdje	ije	bɔʁd	r185294
bɔʁdje	ije	bɔʁd	r185294
abʁikɔtje	ije	abʁikɔt	r185028
abʁikɔtje	ije	abʁikɔt	r185028
abʁikɔtje	ije	abʁikɔt	r185030
abʁikɔtje	ije	abʁikɔt	r185030
coʁdi	ije		r182518
kɔʁdje	ije	kɔʁd	r182518
coʁdi	ije		r182518
kɔʁdje	ije	kɔʁd	r182518
kɔʁdje	ije	kɔʁd	r182518
coʁdi	ije		r183960
kɔʁdje	ije	kɔʁd	r183960
coʁdi	ije		r183960
kɔʁdje	ije	kɔʁd	r183960
kɔʁdje	ije	kɔʁd	r183960
kɔʁdəlje	ije	kɔʁdəl	r187142
kɔʁdəlje	ije	kɔʁdəl	r187142
kɔʁdəlje	ije	kɔʁdəl	r185238
kɔʁdəlje	ije	kɔʁdəl	r185238
afɛktɥø	ɥøz	afɛktɥ	r222000
afɛktɥø	ɥøz	afɛktɥ	r222000
afwaʒe	ije	afwa	r181750
fʁɔ̃talje	ije	fʁɔ̃tal	r90390
fʁɔ̃talje	ije	fʁɔ̃tal	r90390
fʁɔ̃talje	ije	fʁɔ̃tal	r217368
fʁɔ̃talje	ije	fʁɔ̃tal	r217368
egɥijtje	ije	egɥijt	r184780
egɥijtje	ije	egɥijt	r184780
ɛgɥijɔɲe	ije	ɛgɥijɔ	r181752
ɛgɥijɔɲe	ije	ɛgɥijɔ	r181752
ɛlʁɛt	əʁɛt	ɛl	r123576
ɛlʁɛt	əʁɛt	ɛl	r123576
aʁiz	izɛ	aʁi	r106420
aʁiz	izɛ	aʁi	r106420
aʁiz	izɛ	aʁi	r106420
aʁiz	izɛ	aʁi	r106420
aʁiz	izɛ	aʁi	r106420
aʁiz	izɛ	aʁi	r106420
aʁiz	izɛ	aʁi	r106420
aʁiz	izɛ	aʁi	r106420
alvinje	ije	alvin	r181764
alvinje	ije	alvin	r181764
alimɑ̃tø	øz		r87748
alimɑ̃tø	øz		r87748
ʁi	ʁə		r116362
alje	ije	al	r187104
alje	ije	al	r187104
alyminø	øz		r88530
alyminø	øz		r88530
alyminje	ije	alymin	r182496
alyminje	ije	alymin	r182496
alynø	øz		r88008
alynø	øz		r88008
alynje	ije	alyn	r186994
alynje	ije	alyn	r186994
alyminje	ije	alymin	r182156
alyminje	ije	alymin	r182156
ɑ̃bisjø	øz		r88506
ɑ̃bisjø	øz		r88506
amidɔnje	ije	amidɔn	r90586
amidɔnje	ije	amidɔn	r90586
amidɔnje	ije	amidɔn	r185710
amidɔnje	ije	amidɔn	r185710
amidɔnje	ije	amidɔn	r182358
amidɔnje	ije	amidɔn	r182358
amidɔnje	ije	amidɔn	r185712
amidɔnje	ije	amidɔn	r185712
anɔ̃sje	ije	anɔ̃s	r182174
anɔ̃sje	ije	anɔ̃s	r182174
anɔ̃sje	ije	anɔ̃s	r182170
anɔ̃sje	ije	anɔ̃s	r182170
pɔʁtje	ije	pɔʁt	r187190
pɔʁtje	ije	pɔʁt	r187190
pɔʁtje	ije	pɔʁt	r186338
pɔʁtje	ije	pɔʁt	r186338
aʁbɔʁiz	izɛ	aʁbɔʁi	r220492
aʁbɔʁiz	izɛ	aʁbɔʁi	r220492
aʁbɔʁiz	izɛ	aʁbɔʁi	r220492
aʁbɔʁiz	izɛ	aʁbɔʁi	r220492
aʁbɔʁiz	izɛ	aʁbɔʁi	r220492
aʁbɔʁiz	izɛ	aʁbɔʁi	r220492
aʁbɔʁiz	izɛ	aʁbɔʁi	r220492
aʁbɔʁiz	izɛ	aʁbɔʁi	r220492
aʁbʁje	ije	aʁbʁ	r185186
ɛʁbø	øz		r88180
ɛʁbø	øz		r88180
ɛʁbje	ije	ɛʁb	r185994
ɛʁbje	ije	ɛʁb	r185994
ɛʁbje	ije	ɛʁb	r185996
ɛʁbje	ije	ɛʁb	r185996
aʁʃətje	ije	aʁʃət	r184832
aʁʃətje	ije	aʁʃət	r184832
aʁktje	ije	aʁkt	r185574
aʁktje	ije	aʁkt	r185574
aʁsɔnəʁ	œʁ	aʁsɔnə	r10034
aʁsɔnəʁ	œʁ	aʁsɔnə	r10034
aʁsɔnəʁ	œʁ	aʁsɔnə	r10036
aʁsɔnəʁ	œʁ	aʁsɔnə	r10036
aʁsɔnəʁ	œʁ	aʁsɔnə	r10025
aʁsɔnəʁ	œʁ	aʁsɔnə	r10025
aʁdwazje	ije	aʁdwaz	r181818
aʁdwazje	ije	aʁdwaz	r181818
aʁdwazje	ije	aʁdwaz	r181820
aʁdwazje	ije	aʁdwaz	r181820
pekynjø	jøz	pekynj	r90726
pekynjø	jøz	pekynj	r90726
aʁʒɑ̃tje	ije	aʁʒɑ̃t	r185766
aʁʒɑ̃tje	ije	aʁʒɑ̃t	r185766
aʁʒɑ̃tje	ije	aʁʒɑ̃t	r185768
aʁʒɑ̃tje	ije	aʁʒɑ̃t	r185768
aʁgɔtiz	izɛ	aʁgɔti	r106416
aʁgɔtiz	izɛ	aʁgɔti	r106416
aʁgɔtiz	izɛ	aʁgɔti	r106416
aʁgɔtiz	izɛ	aʁgɔti	r106416
aʁgɔtiz	izɛ	aʁgɔti	r106416
aʁgɔtiz	izɛ	aʁgɔti	r106416
aʁgɔtiz	izɛ	aʁgɔti	r106416
aʁgɔtiz	izɛ	aʁgɔti	r106416
aʁmyʁje	ije	aʁmyʁ	r217646
aʁmyʁje	ije	aʁmyʁ	r217646
liftje	ije	lift	r217318
liftje	ije	lift	r217318
siɲifj	ifjɛ	siɲi	r113154
siɲifi	ifjɛ		r113154
siɲifi	ifjɛ		r113154
siɲifj	ifjɛ	siɲi	r113154
siɲifi	ifjɛ		r113154
siɲifj	ifjɛ	siɲi	r113154
siɲifi	ifjɛ		r113154
siɲifi	ifjɛ		r113154
siɲifi	ifjɛ		r113154
